"","GeneName","UniProt","Protein_name"
"563","LAT2","A6NFK6",NA
"564","LGALS1","A0A384MR27",NA
"565","LIMA1","Q53GG0",NA
"566","LMNA","P02545",NA
"567","LRP10","H0YHW7",NA
"568","LRRC1","A8K883",NA
"569","LRRC47","Q8N1G4",NA
"570","LRRC59","B2RE83",NA
"571","LSM12","K7ELG9",NA
"572","LSR","A0A8Z5DL71",NA
"573","LYN","A8K379",NA
"574","M6PR","F5GX30",NA
"575","MATR3","A0A0R4J2E8",NA
"576","MCM2","B7Z8Z6",NA
"577","MED17","A0A384NYG5",NA
"578","METAP1","B4E2E6",NA
"579","MFGE8","B3KTQ2",NA
"580","MKI67","P46013",NA
"581","MTDH","E5RJU9",NA
"582","MUC1","A5YRU8",NA
"583","MYADM","B2RE58",NA
"584","MYH9","A0A8I5KWT8",NA
"585","MYO1C","B7Z3E5",NA
"586","NACA","A0A7I2V2K5",NA
"587","NCSTN","A0A8V8TNI3",NA
"588","NDFIP1","B2RDB8",NA
"589","NONO","A0A0S2Z4Z9",NA
"590","NPM1","A0A140VJQ2",NA
"591","NRAS","A0A024R0K0",NA
"592","NRP1","Q5T7F0",NA
"593","NT5E","B2RBH2",NA
"594","NUP43","B3KTT0",NA
"595","OSMR","Q99650",NA
"596","PA2G4","A8K6Y1",NA
"597","PABPC1","B3KT93",NA
"598","PABPC4","Q6IQ30",NA
"599","PACSIN3","A0A0C4DGG1",NA
"600","PALM","B2RCL4",NA
"601","PARP1","B1ANJ4",NA
"602","PCBP1","Q13157",NA
"603","PDIA3","A0A8I5KT88",NA
"604","PDIA6","Q15084",NA
"605","PERP","B2RB73",NA
"606","PI4K2A","D3DR59",NA
"607","PLCB3","A5PKZ6",NA
"608","PLD1","Q59EA4",NA
"609","PLOD3","B2R6W6",NA
"610","PLSCR1","C9J7K9",NA
"611","POLR1A","B7Z7T0",NA
"612","PPIA","P62937",NA
"613","PPIB","A0A7P0TB45",NA
"614","PPP1CA","A0A140VJS9",NA
"615","PPP1CB","A0A8V8TQ71",NA
"616","PPP1CC","Q9UPN1",NA
"617","PPP2CA","A0A8V8TQA1",NA
"618","PRDX1","A0A384NPQ2",NA
"619","PRDX2","A8K0C0",NA
"620","PRDX3","P30048",NA
"621","PROCR","B2RC04",NA
"622","PRPF19","Q9UMS4",NA
"623","PRPF4","B2R7V4",NA
"624","PSPC1","B4DWI8",NA
"625","PTBP1","A0A0U1RRM4",NA
"626","PTGFRN","Q4QQP8",NA
"627","PTTG1IP","B4DDS6",NA
"628","PURA","Q00577",NA
"629","PVR","B4DTS9",NA
"630","RAE1","A8K882",NA
"631","RALB","B4E040",NA
"632","RELL1","Q8IUW5",NA
"633","RFC4","B4DM41",NA
"634","RGS17","Q5TF49",NA
"635","RGS19","A8K216",NA
"636","RGS20","O76081",NA
